,donor_id,churn_date
7871,-9009396940093211718,2020-3-8
7874,-9009267814870871576,2009-4-16
7885,-9008234115618640222,2013-2-2
7890,-9007594822352435388,2010-7-17
7892,-9007288183203781862,2007-3-1
7915,-9007119770505538151,2012-2-18
7916,-9004965846959725476,2014-7-29
7935,-9004945575740415107,2012-2-14
7952,-9004945575740415107,2019-6-14
8059,-9004571769272523722,2017-10-14
8064,-9004013460905337220,2001-1-16
8065,-9004013460905337220,2002-1-16
8066,-9004013460905337220,2003-1-16
8067,-9004013460905337220,2004-1-16
8068,-9004013460905337220,2005-1-16
8069,-9004013460905337220,2006-1-16
8070,-9004013460905337220,2007-1-16
8071,-9004013460905337220,2008-1-16
8072,-9004013460905337220,2009-1-16
8073,-9004013460905337220,2010-1-16
8074,-9004013460905337220,2011-1-16
8075,-9004013460905337220,2012-1-16
8076,-9004013460905337220,2013-1-16
8077,-9004013460905337220,2014-1-16
8082,-9003220125030509368,2012-8-6
8083,-9002548207969984983,2010-12-7
8088,-9002548207969984983,2011-5-7
8102,-8997539657527412121,2008-12-12
8118,-8996610432842527667,2018-4-30
8123,-8996252758506117572,2002-11-11
8158,-8994015229744693348,2020-1-9
8159,-8993375258604499740,2017-2-26
8181,-8993141021941703072,2015-11-19
8188,-8992320883277140898,2001-9-12
8250,-8989622420995316539,2005-11-16
8270,-8989622420995316539,2009-3-17
8388,-8989622420995316539,2020-3-17
8396,-8989573781669043117,2011-1-26
8407,-8986367742763848188,2019-6-11
8410,-8986013954220954030,2001-9-12
8412,-8985661893905645016,2012-6-25
8493,-8984610372923574319,2013-10-24
8519,-8984610372923574319,2019-2-23
8547,-8983751453028433074,2003-3-9
8562,-8982567000455666981,2015-1-21
8563,-8981508539438821700,2003-11-10
8602,-8980778820696857520,2012-5-14
8634,-8980778820696857520,2015-4-13
8660,-8980778820696857520,2017-9-18
8794,-8980161675346019552,2020-2-20
8802,-8979674398217512570,2011-7-26
8857,-8975922060532821751,2018-5-22
8930,-8975808733851524530,2020-2-25
8939,-8975724393110679712,2014-10-19
8943,-8975340472247392297,2015-10-31
9124,-8975100315362345257,2020-3-12
9150,-8974671651040598726,2011-1-27
9305,-8974588616370734780,2020-1-9
9356,-8974272398523862524,2012-5-12
9391,-8972855099025783156,2019-10-7
9395,-8972524977359979744,2019-1-14
9404,-8972254205629877558,2015-2-22
9419,-8970869140649805064,2019-3-16
9424,-8970434854585837885,2019-8-29
9544,-8969279827210237067,2020-1-9
9557,-8967717862697732052,2017-10-30
9564,-8966211730445577925,2018-8-14
9568,-8966211730445577925,2018-12-14
9585,-8964926000549021140,2019-4-16
9667,-8964199786073962304,2012-10-27
9668,-8958722577573120911,2011-1-8
9678,-8957664175580021946,2019-9-19
9681,-8957664175580021946,2020-3-19
9683,-8957204742401775490,2017-10-23
9684,-8956556234475092101,2010-1-24
9774,-8955475009860577437,2014-6-9
9900,-8954944763756591828,2019-8-17
9909,-8954734847206297772,2018-5-6
9918,-8954172328636267731,2001-5-11
9998,-8951084990384693484,2008-4-12
10156,-8951024094376503272,2020-1-23
10167,-8950982482133159249,2016-4-4
10181,-8950527079619839157,2008-2-27
10315,-8946101673409507842,2020-2-25
10335,-8946006927359818365,2013-4-27
10492,-8945835626594402743,2020-1-14
10495,-8944341840692209777,2015-6-26
10510,-8944051278854433763,2013-1-7
10519,-8943966787603751121,2016-1-17
10526,-8943966787603751121,2017-7-3
10530,-8943512745023355425,2012-4-26
10540,-8943279254353486516,2020-1-27
10542,-8942280941850606788,2010-6-15
10560,-8941806182988141761,2014-4-6
10585,-8940225733117659574,2011-1-18
10645,-8940225733117659574,2016-11-4
10683,-8935116641895226003,2020-3-15
10725,-8934820743020019635,2004-2-19
10735,-8934320915686662003,2019-6-21
10784,-8934042021441970870,2019-1-18
10788,-8933855334053937889,2011-8-6
10858,-8932673598861196508,2006-6-6
10863,-8932625834736377460,2013-7-15
11018,-8932580543847637967,2020-1-22
11023,-8930447350564368620,2018-6-4
11027,-8929798457538602314,2010-9-7
11056,-8928804916424479955,2009-4-22
11075,-8928804916424479955,2011-2-22
11103,-8927558907619099739,2003-2-10
11175,-8927143408200596123,2020-2-16
11176,-8926954909952478085,2011-10-16
11217,-8925012251327846228,2020-3-3
11422,-8924729170000772573,2017-11-13
11446,-8924729170000772573,2020-3-13
11580,-8924604226715891213,2020-2-20
11587,-8923704552363332711,2007-8-1
11589,-8922047537850109678,2020-2-5
11821,-8922036667139669072,2020-2-19
11847,-8921839016800080531,2020-1-5
11849,-8921285855334334649,2007-6-5
11865,-8921166047154633404,2010-1-23
11925,-8921061887475836995,2018-5-5
11940,-8921061887475836995,2020-1-26
11953,-8920603654659037522,2010-3-3
11973,-8920315900968760768,2019-9-2
11988,-8918208267592612881,2011-9-21
11991,-8917527615355885840,2017-12-21
11998,-8917527615355885840,2018-9-15
12001,-8917527615355885840,2019-12-30
12012,-8916032281092849095,2011-8-21
12062,-8915484437919610215,2004-10-6
12096,-8913836868585615634,2011-2-27
12101,-8913222629279410947,2001-10-21
12114,-8913142800371257514,2008-1-9
12115,-8911553886260745591,2001-5-16
12116,-8911553886260745591,2002-5-16
12117,-8911553886260745591,2003-5-16
12126,-8910987993241831481,2018-8-28
12137,-8910987993241831481,2020-1-22
12145,-8910557004133748255,2020-2-20
12147,-8910081972490312418,2013-4-8
12161,-8909932904278259702,2001-10-17
12166,-8908959300370764227,2016-8-4
12180,-8908959300370764227,2018-3-6
12191,-8908959300370764227,2019-8-4
12194,-8908959300370764227,2020-2-3
12352,-8907097223726950790,2020-1-29
12443,-8905772732163689102,2020-2-17
12465,-8905252883286824746,2015-1-2
12493,-8905067943532140622,2020-1-17
12504,-8902804044803123335,2014-7-21
12534,-8902804044803123335,2017-7-23
12586,-8901698625927591067,2011-6-1
12588,-8901618081729310603,2009-3-2
12591,-8901302713981003790,2011-7-7
12604,-8901274426373670270,2014-4-12
12635,-8900678767591655114,2017-2-21
12638,-8900317788762966618,2010-8-13
12675,-8900317788762966618,2014-7-25
12751,-8900174560725547801,2013-9-14
12808,-8900101547041729248,2019-11-12
12816,-8899593811050270372,2020-1-26
12817,-8898320896065721128,2010-2-17
12818,-8898320896065721128,2011-2-17
12827,-8897934981029668255,2005-11-20
12926,-8896561295295135706,2008-10-10
13059,-8896335183232150811,2020-2-21
13093,-8896303512279925472,2012-3-6
13126,-8896303512279925472,2015-6-23
13135,-8896303512279925472,2018-1-30
13136,-8895605870667131841,2020-3-1
13191,-8895146662553631484,2011-7-30
13222,-8895146662553631484,2014-5-31
13239,-8895146662553631484,2020-1-26
13278,-8894719898092644428,2017-5-19
13285,-8894427533849244804,2019-12-23
13306,-8893922258111113494,2020-2-21
13328,-8893833203562627802,2008-1-10
13332,-8893602200767895837,2009-8-25
13563,-8890897863668167965,2019-6-20
13610,-8889774574407825480,2012-11-17
13644,-8888487854868497856,2011-8-16
13662,-8886843172718225664,2012-12-11
13691,-8886045861927599076,2011-12-17
13739,-8885656951273149164,2019-1-10
13755,-8883891147267737556,2003-2-19
13818,-8883875018640859579,2007-8-8
13830,-8882528387166003659,2010-7-2
13857,-8880846423469617004,2002-8-19
13861,-8880200752963753441,2009-4-19
13870,-8879395356756152930,2018-12-30
13909,-8877627412692463316,2008-9-21
13964,-8877627412692463316,2016-5-7
14006,-8875124760921409442,2016-9-16
14007,-8874797863828184487,2008-7-9
14009,-8874797863828184487,2009-9-9
14010,-8874635399057549582,2007-3-28
14014,-8874635399057549582,2007-8-14
14026,-8874635399057549582,2008-9-13
14035,-8874586334427113076,2013-6-1
14042,-8874546399600440404,2009-3-27
14133,-8872689302375930020,2014-7-28
14198,-8872689302375930020,2020-1-25
14201,-8871849804316897644,2019-7-10
14249,-8870683463252276897,2015-12-15
14262,-8869643950294929984,2011-3-5
14273,-8867385867057955287,2020-1-15
14312,-8866532615208524875,2012-5-25
14314,-8866349110665885186,2012-5-13
14349,-8865061713580921690,2007-11-16
14369,-8864637519764962438,2016-8-12
14375,-8864261165205727372,2020-3-6
14377,-8861628870550429221,2014-11-30
14439,-8861140533612231073,2005-6-10
14442,-8859282782351156952,2008-6-26
14446,-8859143277857069293,2014-6-5
14447,-8858608721983875920,2011-6-18
14483,-8858475825076468206,2019-1-22
14485,-8857567372676098637,2017-2-17
14611,-8856212484516011339,2019-6-15
14615,-8856212484516011339,2020-2-15
14623,-8855885702695537586,2015-3-2
14629,-8855708600052494049,2020-3-12
14685,-8854751544762916918,2012-3-11
14704,-8854751544762916918,2014-1-11
